rank,developer_group,rera_entities,n_rera_projects,ticket_size_25,scale_15,highspec_15,financial_15,landbank_20,clean_record_10,score,tier,notes
1,Alpha Corp,ALPHA CORP DEVELOPMENT PVT LTD,9,25,15,10,12,15,10,87,A,"Alpha International City 306-330 ac Sec 28-29 NH-44; ₹9-12.2k/sqft; top listings ₹12.5 Cr; +178% 5yr; club infrastructure; ongoing phases (Atulyam, Plaza) = live land bank. Strongest premium platform in Karnal."
2,Jewel Classic Hotels (strategic),JEWEL CLASSIC HOTELS PVT LTD,0,20,8,12,10,10,10,70,A*,"Not a RERA developer — hospitality group. Owns Noormahal Palace = India's FIRST Marriott Autograph Collection (Apr 2026). Existing Marriott relationship + luxury brand mindset + GT Road land. Natural branded-residences JV anchor. Score is strategic, not formula."
3,Signature Global,MAA VAISHNO NET-TECH PVT LTD (SPV),2,8,13,12,15,10,10,68,B,"Listed NCR developer; ₹450 Cr invested in Global City I/II Sec 28A/35. Financial muscle but DDJAY/affordable positioning — brand-fit requires them to move upmarket (they are doing so in Gurugram). SPV name masks parent — found via project name."
4,CHD Developers,M/S CHD DEVELOPERS LTD; CHD DEVELOPERS LTD,6,10,12,12,3,12,5,54,B-,"CHD City ~180 ac Sec 45 incl. Bulevar 6BHK villas. CORRECTED: under CIRP since Sep-2022 (RP Rajesh Kumar Parakh) — counterparty is the RP/CoC, not promoters. Park until resolution; land bank remains attractive to whoever wins it."
5,Eterna Living (ex-Ansal Landmark; Dalmia Group),ETERNA LIVING PVT LTD (formerly ANSAL LANDMARK(KARNAL) TOWNSHIP PVT LTD),3,15,12,10,12,12,8,69,A-,"CORRECTED: SPV renamed Eterna Living, controlled by Gaurav Dalmia (Landmark Holdings) — OUTSIDE Ansal API's CIRP. Sushant City 128.66 ac Sec 36 with active premium products (Sushant Royale penthouses, Homez villas, Elite Floors). Dalmia capital + premium inventory + live land bank = second-best formula target after Alpha."
6,Rajdarbar Builders,RAJDARBAR BUILDERS PVT LTD,3,8,8,8,10,8,8,50,B,"Green Valley + Spaces; likely Delhi Rajdarbar Group backing. Mid-market today; capital access could support one premium play."
7,Golf Links (Levity),LEVITY ENTERPRISES PVT LTD; GOLF LINK PROJECTS,3,8,6,5,5,8,8,40,B-,"Golf-themed plotted phases I-II — premium aspiration signal from a local player. Unknown financials; enrich before outreach."
8,Aarize (Karnelya),AARIZE TOWNSHIP,1,8,5,6,8,5,8,40,B-,"Aarize is an expanding Gurugram developer; Karnelya = new Karnal township entry. Watch."
9,Cititech Townships,CITITECH TOWNSHIPS (P) LTD,1,5,6,5,5,8,8,37,C+,"26.4 ac township — scale worth a look, no premium signal yet."
10,RCNP / JAP Developers,RCNP BUILDERS DEVELOPERS,2,5,5,5,5,5,8,33,C+,"40-yr local builder (Model Town); Sai Residency; local credibility, no premium track record."
11,Parsvnath,PARSVNATH DEVELOPER,1,5,6,5,2,5,3,26,C,"Legacy distressed; Parsvnath City plotted."
12,RAS Developments,RAS DEVELOPMENT(S) PVT LTD; RG CITY DEVELOPERS,4,3,5,5,4,4,8,29,C,"Affordable GH ₹8.5-33 L — volume player, wrong segment."
13,(Long tail - 54 groups),various,~55,,,,,,,,C,"DDJAY plotted / affordable / industrial / single-project locals: Slotco, Madhuban, Aegis, Skyhigh, RBA, Metropole, DAA, KN Colonisers, USG, INR, GSM, etc. Keep in DB for market intel; no outreach."
